EpRewMean,loss_pol_entpen,EpThisIter,loss_ent,TimestepsSoFar,EpisodesSoFar,EpLenMean,ev_tdlam_before,loss_vf_loss,loss_kl,TimeElapsed,loss_pol_surr
-4.857142857142857,0.0,7,2.0680666,4096,7,514.1428571428571,-0.12732839584350586,0.016355362,0.011580893,7.57888126373291,-0.006480756
-4.857142857142857,0.0,7,2.0628366,8192,14,560.4285714285714,0.6829071044921875,0.017922461,0.010455298,14.468576431274414,-0.007994473
-4.8,0.0,6,2.062535,12288,20,587.75,0.7527538239955902,0.019721152,0.007495672,21.650604009628296,-0.0079175485
-4.814814814814815,0.0,7,2.0427947,16384,27,592.925925925926,0.8053078651428223,0.019023301,0.008516737,28.78048586845398,-0.009103851
-4.852941176470588,0.0,7,2.0422049,20480,34,593.7352941176471,0.8597918003797531,0.012991404,0.0052528186,35.68020486831665,-0.009264693
-4.825,0.0,6,2.0305889,24576,40,607.15,0.792191207408905,0.019145964,0.0050437087,43.99992752075195,-0.0066084047
-4.8478260869565215,0.0,6,2.0183442,28672,46,611.195652173913,0.8218857944011688,0.018044127,0.006874851,51.22708249092102,-0.006052451
-4.830188679245283,0.0,7,2.0070937,32768,53,612.2075471698113,0.782245859503746,0.022998653,0.0065738917,58.61782765388489,-0.0058082948
-4.85,0.0,7,2.0073967,36864,60,606.0166666666667,0.8396838307380676,0.015364531,0.005414834,66.0153021812439,-0.006525437
-4.850746268656716,0.0,7,2.0034292,40960,67,608.8805970149253,0.8053451776504517,0.019718092,0.004734493,74.35109233856201,-0.005576992
-4.863013698630137,0.0,6,1.9905673,45056,73,610.8630136986301,0.8501878976821899,0.013704993,0.00638304,81.24659085273743,-0.0057583987
-4.8625,0.0,7,1.992803,49152,80,610.5,0.8107060939073563,0.0166069,0.007111105,88.12826299667358,-0.0071956385
-4.872093023255814,0.0,6,1.9901086,53248,86,612.2093023255813,0.8257014751434326,0.015667867,0.0072941305,95.97556805610657,-0.0047556153
-4.881720430107527,0.0,7,1.9784667,57344,93,615.236559139785,0.853814110159874,0.01330011,0.008101646,103.38610577583313,-0.008143565
-4.8686868686868685,0.0,6,1.9509784,61440,99,617.020202020202,0.7697999626398087,0.019650072,0.007879177,110.27671217918396,-0.01098752
-4.87,0.0,7,1.9542016,65536,106,620.39,0.8228702694177628,0.017061878,0.006121311,117.16135859489441,-0.0066235624
-4.88,0.0,6,1.9347526,69632,112,621.61,0.8586675822734833,0.012801893,0.007785219,124.0503785610199,-0.007297097
-4.89,0.0,6,1.924469,73728,118,628.99,0.8351802825927734,0.015313952,0.008446253,130.9446427822113,-0.0073094773
-4.9,0.0,7,1.921217,77824,125,625.61,0.8423382937908173,0.014794213,0.007623766,137.84271025657654,-0.0058673117
-4.9,0.0,6,1.9269,81920,131,633.04,0.7939579337835312,0.015709935,0.0099142715,144.7457356452942,-0.008701067
-4.92,0.0,7,1.9258381,86016,138,626.5,0.8148831576108932,0.016106881,0.0076560583,151.66265201568604,-0.0053897207
-4.89,0.0,6,1.8615502,90112,144,630.74,0.840001568198204,0.0148226125,0.009579366,158.56464099884033,-0.0056234654
-4.9,0.0,6,1.8941095,94208,150,630.15,0.8317367285490036,0.01386946,0.0072637754,165.47139358520508,-0.0045285174
-4.9,0.0,7,1.8898073,98304,157,632.99,0.8111782222986221,0.018284246,0.007028095,172.42099237442017,-0.008247452
-4.88,0.0,5,1.8786588,102400,162,642.66,0.8098663538694382,0.01564883,0.0069862865,860.471257686615,-0.00510568
-4.88,0.0,6,1.8701768,106496,168,645.57,0.8322844207286835,0.01461977,0.007456827,867.3687901496887,-0.0040333
-4.89,0.0,7,1.8626587,110592,175,643.32,0.8543162792921066,0.012702767,0.009057733,874.2571365833282,-0.006686596
-4.87,0.0,7,1.8379544,114688,182,646.36,0.8352794051170349,0.014983539,0.009481666,881.1506490707397,-0.007959356
-4.87,0.0,6,1.8366609,118784,188,644.55,0.8189376592636108,0.013713428,0.007933073,888.0387165546417,-0.0036603764
-4.87,0.0,6,1.8526824,122880,194,647.82,0.8364207744598389,0.013408418,0.007555528,894.9248337745667,-0.006440863
-4.87,0.0,6,1.8459176,126976,200,650.31,0.8467109650373459,0.0136458445,0.007743942,901.8072061538696,-0.006885444
-4.87,0.0,6,1.8114253,131072,206,653.43,0.8402695953845978,0.012903182,0.009307997,908.6973569393158,-0.0072731827
-4.87,0.0,8,1.7927738,135168,214,646.88,0.8662928491830826,0.01246238,0.008898134,915.5893993377686,-0.006211294
-4.82,0.0,5,1.7735709,139264,219,652.35,0.8052288591861725,0.01652884,0.007800717,922.5064475536346,-0.008720556
-4.82,0.0,6,1.7455122,143360,225,660.16,0.8562544733285904,0.011968392,0.008879479,931.0746493339539,-0.0048266593
-4.82,0.0,6,1.7520183,147456,231,658.14,0.8450491279363632,0.012862812,0.008732597,938.0752732753754,-0.00497941
-4.8,0.0,6,1.7468349,151552,237,661.82,0.8206446617841721,0.016994832,0.0089777745,944.9558618068695,-0.006555272
-4.8,0.0,6,1.7043467,155648,243,662.27,0.8163496851921082,0.01592872,0.009463797,952.2629735469818,-0.0074723205
-4.8,0.0,6,1.6746522,159744,249,664.23,0.8575072288513184,0.011562598,0.00862963,959.6777520179749,-0.0070103714
-4.79,0.0,6,1.6856698,163840,255,662.18,0.8273903578519821,0.016555373,0.008316146,967.0952727794647,-0.0060673784
-4.8,0.0,7,1.6510168,167936,262,658.76,0.8600604236125946,0.011160667,0.009386154,974.4963591098785,-0.0043007694
-4.8,0.0,7,1.6913371,172032,269,652.33,0.8370480239391327,0.013081272,0.0073465053,981.9171438217163,-0.0041118194
-4.8,0.0,6,1.6626137,176128,275,651.45,0.8500095307826996,0.012367057,0.008165665,989.3304047584534,-0.007823596
-4.82,0.0,7,1.6480387,180224,282,651.8,0.8772407695651054,0.010314995,0.010475588,996.7435097694397,-0.009073353
-4.82,0.0,6,1.5799437,184320,288,654.13,0.8423739075660706,0.0124355825,0.010732231,1004.1686923503876,-0.003116711
-4.81,0.0,6,1.6349237,188416,294,653.78,0.8544661700725555,0.010482289,0.0087347645,1011.5861415863037,-0.0045181303
-4.81,0.0,7,1.6266778,192512,301,654.33,0.8385622799396515,0.012424778,0.008911196,1019.0048382282257,-0.00474309
-4.82,0.0,7,1.6038889,196608,308,647.27,0.863999754190445,0.011789797,0.008158339,1026.4168558120728,-0.0044057965
-4.81,0.0,6,1.6006838,200704,314,654.63,0.8490900695323944,0.013066613,0.009601799,1700.421664237976,-0.0069942484
-4.86,0.0,6,1.5799618,204800,320,647.91,0.86772520840168,0.010374078,0.009291559,1707.3191709518433,-0.0017321252
-4.85,0.0,6,1.5678401,208896,326,642.02,0.8154755681753159,0.0114906095,0.009150028,1714.2269809246063,-0.0055368063
-4.87,0.0,8,1.5548952,212992,334,633.26,0.834108904004097,0.014241542,0.008488484,1721.1437582969666,-0.00813371
-4.87,0.0,7,1.5225521,217088,341,629.85,0.8672141879796982,0.012671764,0.008572361,1728.0700664520264,-0.0060490593
-4.88,0.0,6,1.5044454,221184,347,629.94,0.8502937853336334,0.013584904,0.008157491,1734.9820086956024,-0.007856594
-4.88,0.0,7,1.5505056,225280,354,626.32,0.835708275437355,0.0119706625,0.008233424,1741.8961181640625,-0.008687411
-4.91,0.0,7,1.5208908,229376,361,619.43,0.8675337880849838,0.0109714,0.007410023,1748.8177971839905,-0.0040219035
-4.9,0.0,7,1.512306,233472,368,619.87,0.820611834526062,0.013429404,0.008307833,1755.7397739887238,-0.0065553957
-4.88,0.0,7,1.4968513,237568,375,620.74,0.8577945381402969,0.012127668,0.007946466,1762.661434173584,-0.005570055
-4.87,0.0,6,1.487704,241664,381,619.4,0.8624818474054337,0.010195274,0.010051253,1769.5774261951447,-0.008569834
-4.86,0.0,8,1.4386908,245760,389,607.77,0.8485840111970901,0.015746778,0.008284427,1776.542768239975,-0.004991818
-4.84,0.0,5,1.4440933,249856,394,614.95,0.8448880016803741,0.011683534,0.00941217,1783.60311961174,-0.007767779
-4.86,0.0,8,1.4527179,253952,402,604.6,0.8552830368280411,0.012058403,0.009838507,1790.5165388584137,-0.009631252
-4.86,0.0,6,1.409108,258048,408,610.49,0.8438219279050827,0.011020055,0.008353931,1797.440768957138,-0.0056097386
-4.85,0.0,7,1.4001235,262144,415,606.5,0.8180263638496399,0.014269275,0.0072201723,1804.3771982192993,-0.004859165
-4.84,0.0,7,1.4189537,266240,422,602.45,0.8262480348348618,0.01289947,0.007483117,1811.2880523204803,-0.004266556
-4.83,0.0,6,1.4095598,270336,428,601.04,0.8271818459033966,0.013744499,0.007486814,1818.196260690689,-0.0076621454
-4.82,0.0,6,1.4291742,274432,434,613.78,0.8243965804576874,0.011819023,0.008789506,1825.1071591377258,-0.008973165
-4.83,0.0,7,1.3930999,278528,441,613.4,0.8323964923620224,0.010740511,0.009614512,1831.9991390705109,-0.0048404858
-4.83,0.0,6,1.3434207,282624,447,610.95,0.8462573289871216,0.011958126,0.009493376,1838.8883607387543,-0.0077734077
-4.83,0.0,7,1.3390836,286720,454,612.75,0.860226184129715,0.010694006,0.008617066,1845.7972257137299,-0.0050787115
-4.83,0.0,7,1.2914749,290816,461,613.16,0.8862680718302727,0.010048899,0.009001332,1852.716674566269,-0.0039673233
-4.82,0.0,7,1.3013506,294912,468,612.86,0.8046529442071915,0.01286437,0.008144768,1859.616958141327,-0.005694861
-4.84,0.0,7,1.2973017,299008,475,614.01,0.8723491132259369,0.010502781,0.0077031394,1866.5213339328766,-0.003980254
-4.83,0.0,5,1.3052194,303104,480,621.91,0.8624192029237747,0.011704876,0.010708744,2526.533416032791,-0.005500018
-4.85,0.0,7,1.3233844,307200,487,618.95,0.8594192266464233,0.009504109,0.007743035,2533.4747936725616,-0.007718711
-4.87,0.0,7,1.3006154,311296,494,615.36,0.8512482345104218,0.010184423,0.008745497,2540.4068474769592,-0.006244303
-4.86,0.0,7,1.2876271,315392,501,621.83,0.8369635492563248,0.012298818,0.008569155,2547.3512539863586,-0.0060798293
-4.84,0.0,7,1.2529439,319488,508,618.44,0.8346709758043289,0.012727494,0.010210013,2554.319251060486,-0.009844238
-4.85,0.0,6,1.2319373,323584,514,619.1,0.8495867252349854,0.011488527,0.0074579874,2561.3666956424713,-0.003543974
-4.85,0.0,7,1.2536607,327680,521,622.04,0.8362714350223541,0.010935404,0.0094475625,2568.316155433655,-0.003930209
-4.86,0.0,7,1.2596023,331776,528,616.48,0.8643974512815475,0.009840511,0.0073048174,2575.276679754257,-0.0034135063
-4.87,0.0,7,1.2353393,335872,535,609.34,0.871498629450798,0.011453322,0.0077680345,2582.2677578926086,-0.004066572
-4.86,0.0,6,1.2344675,339968,541,609.65,0.859061673283577,0.011886785,0.0077507114,2589.2060141563416,-0.008138342
-4.86,0.0,6,1.2062868,344064,547,613.25,0.8202821463346481,0.013920489,0.008815027,2596.164867401123,-0.0070094913
-4.84,0.0,7,1.1957314,348160,554,611.94,0.8430612087249756,0.01238577,0.008089854,2603.1403453350067,-0.006124977
-4.82,0.0,7,1.1841137,352256,561,614.89,0.8469458967447281,0.013117932,0.007238648,2610.1494891643524,-0.004244812
-4.84,0.0,6,1.1488341,356352,567,619.34,0.8662610948085785,0.01151156,0.0082517145,2617.098296403885,-0.006155003
-4.84,0.0,6,1.1472483,360448,573,619.61,0.8561042845249176,0.011643116,0.006401667,2624.041253566742,-0.004160731
-4.84,0.0,7,1.1566051,364544,580,613.5,0.8542921841144562,0.010907924,0.0064137317,2630.993556499481,-0.0039921426
-4.83,0.0,6,1.1759638,368640,586,620.76,0.8338619917631149,0.012011831,0.006368522,2637.951241493225,-0.0036319108
-4.82,0.0,7,1.1588622,372736,593,621.66,0.8465926200151443,0.012062402,0.0074518523,2644.9204387664795,-0.0052682464
-4.81,0.0,6,1.1243248,376832,599,624.65,0.8403570353984833,0.012146157,0.00727736,2651.897744655609,-0.007466664
-4.82,0.0,7,1.117387,380928,606,630.21,0.8433241993188858,0.011805236,0.008111035,2658.8981466293335,-0.007181434
-4.82,0.0,7,1.0888891,385024,613,622.11,0.8533716648817062,0.014392278,0.0077338577,2665.8986399173737,-0.0056908536
-4.82,0.0,6,1.0901091,389120,619,626.27,0.8417060673236847,0.011986481,0.0072573456,2672.8732767105103,-0.0053040516
