#{"t_start": 1604058113.3954546, "env_id": "SlimeVolley-v0"}
r,l,t
-5,672,281.595197
-4,636,282.27039
-5,499,282.798926
-5,551,283.382475
-3,809,284.239857
-5,695,284.975438
-5,532,285.538154
-5,558,286.127989
-5,682,286.849397
-5,507,287.3854
-5,610,288.031168
-5,514,288.574657
-5,527,289.132698
-5,445,289.603851
-5,550,290.185964
-5,633,290.855892
-4,814,291.71905
-5,373,292.114966
-5,671,292.825449
-5,479,293.333147
-5,593,293.961399
-5,590,294.586786
-5,498,295.114123
-5,491,295.633675
-4,631,296.301703
-5,449,296.777247
-4,1009,297.844827
-5,468,298.339061
-4,701,299.080201
-5,574,299.686873
-5,490,300.204759
-5,570,300.806848
-5,681,301.52655
-5,492,302.04634
-5,395,302.463707
-5,689,303.190728
-5,434,303.649531
-5,589,304.272199
-5,522,304.824
-5,525,305.378776
-5,708,306.128125
-5,657,306.821675
-5,670,307.528989
-5,794,308.366835
-5,437,308.828654
-4,619,309.482083
-5,668,310.187038
-5,584,310.803291
-4,670,311.510429
-5,449,311.985228
-5,637,312.658099
-5,719,313.417177
-5,656,314.110222
-4,498,314.636698
-5,612,315.283287
-5,707,316.029906
-4,951,317.034919
-5,810,317.891665
-5,617,318.544642
-5,606,319.185698
-5,865,320.102427
-5,519,320.652484
-4,753,321.450553
-5,496,321.976424
-5,564,322.574105
-5,720,323.33507
-4,710,324.085847
-5,628,324.748478
-5,658,325.443151
-5,382,325.847541
-5,568,326.447626
-4,766,327.254999
-5,507,327.789742
-5,520,328.339169
-5,577,328.948822
-2,929,329.930048
-5,688,330.65733
-5,758,331.459173
-5,688,332.186923
-5,738,332.985723
-5,660,333.754328
-5,740,334.546025
-5,1254,335.872113
-5,434,336.330279
-5,862,337.241411
-5,548,337.820903
-5,466,338.313722
-5,524,338.867741
-5,440,339.333826
-5,746,340.123753
-4,803,340.973501
-5,738,341.754226
-5,539,342.324924
-5,567,342.925453
-5,627,343.588343
-5,615,344.237487
-4,749,345.028551
-5,722,345.791047
-5,635,346.460477
-5,668,347.164831
-5,521,347.715077
-5,629,348.379607
-5,509,348.917375
-5,698,349.654057
-5,598,350.287083
-4,795,351.128294
-5,815,351.990721
-5,596,352.621222
-5,599,353.254572
-4,728,354.025205
-5,475,354.527956
-5,632,355.196827
-5,556,355.784595
-5,507,356.320473
-5,640,356.996569
-5,675,357.710492
-5,616,358.362093
-5,528,358.919953
-4,786,359.750448
-4,522,360.301263
-5,403,360.727
-5,643,361.406571
-4,659,362.104435
-5,453,362.582575
-5,715,363.344562
-4,900,364.370193
-5,462,364.907085
-5,541,365.536031
-5,761,366.421879
-5,382,366.866827
-5,478,367.423239
-5,525,368.016861
-5,505,368.551865
-5,539,369.122423
-5,527,369.680688
-5,518,370.229409
-5,743,371.016352
-5,505,371.549963
-5,671,372.260965
-5,726,373.028101
-4,764,373.836057
-5,543,374.410324
-4,805,375.264218
-5,571,375.870003
-5,965,376.891444
-5,519,377.441719
-5,701,378.185145
-5,632,378.854382
-5,451,379.332964
-5,575,379.942823
-4,912,380.908117
-5,606,381.550417
-5,883,382.486803
-5,859,383.394306
-3,789,384.2281
-5,810,385.084351
-5,595,385.714826
-5,651,386.40433
-5,714,387.158826
-5,387,387.567523
-5,598,388.200793
-4,629,388.865628
-5,418,389.307255
-5,873,390.230414
-5,615,390.881286
-5,692,391.612464
-5,460,392.098517
-5,466,392.637167
-5,668,393.35257
-5,505,393.887208
-4,908,394.847866
-5,501,395.377148
-5,661,396.075897
-5,540,396.646536
-5,508,397.183883
-5,458,397.668226
-5,752,398.463168
-5,535,399.028719
-5,517,399.574953
-5,535,400.139802
-5,498,400.666051
-5,585,401.284803
-5,539,401.855079
-4,712,402.607311
-5,568,403.208897
-5,452,403.687619
-5,578,404.299345
-5,479,404.806261
-5,498,405.333784
-5,831,406.214913
-5,511,406.75707
-5,608,407.400756
-4,809,408.25635
-5,462,408.744721
-5,611,409.391065
-5,498,409.917295
-4,709,410.666702
-5,1040,411.765491
-4,686,412.490014
-5,511,413.029288
-5,767,413.838603
-5,838,414.723338
-4,619,415.377091
-5,422,415.82233
-5,514,416.364924
-5,467,416.857837
-5,580,417.470101
-5,753,418.264743
-5,528,418.822531
-4,621,419.478314
-3,722,420.240947
-5,415,420.679266
-4,730,421.450717
-5,712,422.202832
-5,635,422.873974
-5,453,423.352231
-5,801,424.198055
-4,662,424.89694
-5,490,425.414545
-5,612,426.060488
-5,510,426.598839
-5,560,427.190735
-5,734,427.96707
-5,507,428.503064
-5,777,429.325453
-4,635,429.999158
-5,525,430.554838
-5,652,431.244019
-5,536,431.810576
-5,826,432.68449
-5,574,433.29227
-4,747,434.084351
-5,501,434.614668
-5,675,435.330548
-5,587,435.953105
-5,723,436.71712
-5,645,437.399307
-5,634,438.070836
-5,531,438.632487
-5,689,439.360768
-5,520,439.911151
-5,627,440.573582
-5,419,441.016909
-5,659,441.713585
-5,630,442.37948
-5,703,443.123877
-5,449,443.598817
-5,744,444.385017
-5,706,445.131403
-5,798,445.974415
-5,740,446.756259
-5,546,447.332495
-5,755,448.130099
-5,473,448.629321
-5,1167,449.86509
-4,865,450.781668
-5,495,451.306399
-5,596,451.937461
-5,473,452.43814
-4,614,453.088389
-3,967,454.115525
-5,580,454.729782
-5,425,455.181431
-5,625,455.842841
-5,519,456.391481
-4,746,457.179862
-5,451,457.656576
-4,752,458.45204
-5,938,459.444753
-5,697,460.180964
-5,748,460.971826
-5,455,461.452642
-5,609,462.096468
-5,663,462.797064
-5,543,463.37144
-5,536,463.938335
-5,567,464.537757
-5,539,465.108756
-5,650,465.798398
-5,981,466.836877
-5,684,467.561019
-5,397,467.98105
-5,747,468.771126
-5,618,469.424539
-5,517,469.970595
-5,587,470.592218
-5,485,471.105196
-5,387,471.514721
-5,692,472.246706
-5,698,472.984827
-5,660,473.682924
-5,456,474.165896
-5,619,474.822249
-5,688,475.55153
-5,623,476.210403
-5,486,476.723546
-5,874,477.647613
-5,580,478.260791
-5,505,478.793713
-5,942,479.788937
-5,627,480.452162
-5,474,480.952644
-5,490,481.470632
-5,670,482.176963
-5,412,482.612111
-5,721,483.376462
-5,525,483.931969
-5,702,484.673526
-5,806,485.525578
-5,630,486.191859
-4,673,486.904046
-5,652,487.593451
-5,814,488.45495
-5,621,489.113193
-5,548,489.69325
-5,473,490.193712
-5,891,491.137304
-5,598,491.770458
-5,692,492.502279
-5,735,493.279676
-5,486,493.793721
-5,395,494.211657
-5,840,495.100082
-5,582,495.715657
-5,488,496.232132
-5,518,496.780021
-5,526,497.336801
-4,609,497.98067
-5,567,498.580526
-4,676,499.295482
-5,493,499.816656
-5,454,500.296352
-4,730,501.069015
-5,848,501.967287
-5,687,502.693934
-5,489,503.210524
-5,573,503.816357
-4,774,504.634376
-5,768,505.447101
-5,528,506.005003
-5,479,506.511178
-5,691,507.244009
-5,674,507.956722
-5,580,508.569096
-5,440,509.03389
-5,671,509.74544
-5,654,510.439843
-5,451,510.917483
-5,596,511.548236
-4,808,512.40434
-5,433,512.864116
-5,490,513.381966
-5,513,513.925106
-4,791,514.763914
-4,1109,515.94015
-4,867,516.856294
-5,549,517.437773
-5,532,518.001242
-5,570,518.603669
-5,542,519.176498
-5,435,519.636764
-5,469,520.133074
-4,619,520.787833
-5,443,521.255607
-5,705,522.000345
-5,766,522.809584
-5,550,523.391123
-5,571,523.993987
-5,730,524.764539
-5,655,525.456667
-5,660,526.154138
-5,836,527.036907
-5,472,527.53607
-5,731,528.308419
-5,421,528.75361
-5,631,529.420086
-5,738,530.200194
-5,531,530.761838
-5,550,531.34326
-4,685,532.067216
-5,572,532.671899
-5,634,533.342269
-5,721,534.105357
-4,813,534.963975
-3,920,535.937194
-5,611,536.583146
-5,528,537.141819
-5,811,537.998433
-5,510,538.536997
-5,481,539.044935
-5,589,539.667069
-5,529,540.225335
-5,504,540.75791
-5,530,541.319669
-5,626,541.983462
-5,569,542.585345
-5,419,543.028627
