loss_pol_surr,loss_vf_loss,loss_ent,ev_tdlam_before,loss_kl,EpThisIter,TimeElapsed,EpisodesSoFar,TimestepsSoFar,loss_pol_entpen,EpLenMean,EpRewMean
-0.019677727,0.07922345,2.0765367,-1.1811387538909912,0.0028658835,0,0.5079572200775146,0,256,-0.020765368,,
-0.02235849,0.03005226,2.0631142,-0.326541543006897,0.009078039,0,0.7117135524749756,0,512,-0.020631142,,
-0.03288635,0.022852482,2.0390503,0.3780398964881897,0.015117051,1,0.9395136833190918,1,768,-0.020390501,575.0,4.0
-0.018701762,0.016190663,2.023057,0.7424860596656799,0.007696203,0,1.1423065662384033,1,1024,-0.02023057,575.0,4.0
-0.010201395,0.047872137,1.9978237,0.37088537216186523,0.0058846194,1,1.3733901977539062,2,1280,-0.019978236,528.5,4.5
-0.013103336,0.04188189,2.0034451,0.6790950000286102,0.0027147238,0,1.6103858947753906,2,1536,-0.020034451,528.5,4.5
-0.015113808,0.059124775,2.0082145,0.7442120313644409,0.0023582885,0,1.8504254817962646,2,1792,-0.020082144,528.5,4.5
-0.031544253,0.030103901,1.9817581,0.8196310997009277,0.016443036,1,2.089616060256958,3,2048,-0.01981758,601.0,2.6666666666666665
-0.019971669,0.030003138,1.9927456,0.7942478656768799,0.0073183775,0,2.3351123332977295,3,2304,-0.019927457,601.0,2.6666666666666665
-0.013209162,0.02446369,2.0246334,0.3865828514099121,0.0068562175,1,2.573110818862915,4,2560,-0.020246334,588.75,1.25
-0.027811721,0.0389257,1.9978709,0.6976422071456909,0.003264308,0,2.7965335845947266,4,2816,-0.01997871,588.75,1.25
-0.016477529,0.029431824,1.9902583,0.6755156815052032,0.0035514012,0,2.9989702701568604,4,3072,-0.019902583,588.75,1.25
-0.008712883,0.0154102035,1.9971769,0.8762622475624084,0.0016070656,1,3.201901912689209,5,3328,-0.01997177,623.6,1.2
-0.024467826,0.058308043,2.0088925,0.7387215793132782,0.0052482304,0,3.4043033123016357,5,3584,-0.020088926,623.6,1.2
-0.024313418,0.022867696,2.0104136,0.6564149558544159,0.0065922257,0,3.6061015129089355,5,3840,-0.020104134,623.6,1.2
-0.022394285,0.039002754,1.9857779,0.5891424715518951,0.006527371,1,3.8091890811920166,6,4096,-0.019857777,653.1666666666666,1.1666666666666667
-0.023492066,0.025719754,2.0052052,0.8100832104682922,0.009843375,0,4.011420965194702,6,4352,-0.020052053,653.1666666666666,1.1666666666666667
-0.025917318,0.012314817,1.9709325,0.8088735789060593,0.0067480146,1,4.214378833770752,7,4608,-0.019709323,648.8571428571429,1.4285714285714286
-0.023007154,0.038493082,1.9515173,0.3485870361328125,0.011419173,0,4.417884588241577,7,4864,-0.019515172,648.8571428571429,1.4285714285714286
-0.021464279,0.022945102,1.9923735,0.7556701004505157,0.0052442933,0,4.61960768699646,7,5120,-0.019923735,648.8571428571429,1.4285714285714286
-0.027165463,0.036801584,1.9688196,0.8309507966041565,0.005871375,1,4.822437763214111,8,5376,-0.019688196,652.125,1.5
-0.025233302,0.0252215,1.9054743,0.8368369340896606,0.011135777,0,5.025237560272217,8,5632,-0.019054743,652.125,1.5
-0.018842034,0.0139956735,1.9121604,0.9267913550138474,0.0057326923,0,5.2274487018585205,8,5888,-0.019121602,652.125,1.5
-0.017244209,0.02304177,1.8467807,0.8550907969474792,0.007096856,1,5.4297051429748535,9,6144,-0.018467808,658.4444444444445,1.4444444444444444
-0.018184517,0.07725695,1.8775725,0.7446006238460541,0.0051235696,0,5.632354021072388,9,6400,-0.018775726,658.4444444444445,1.4444444444444444
-0.02251272,0.0188197,1.8142443,0.8874663487076759,0.010605024,0,5.834771394729614,9,6656,-0.018142443,658.4444444444445,1.4444444444444444
-0.025464498,0.058197007,1.8404589,0.6548551917076111,0.00853313,1,6.037386655807495,10,6912,-0.018404588,666.8,1.2
-0.016938742,0.058737583,1.7754291,0.6523160040378571,0.0054257414,0,6.240302085876465,10,7168,-0.01775429,666.8,1.2
-0.018416906,0.027402522,1.7754737,0.913624957203865,0.011070861,1,6.443427324295044,11,7424,-0.017754737,669.7272727272727,1.1818181818181819
-0.020613842,0.022815641,1.7617362,0.8641713857650757,0.008788166,0,6.6458234786987305,11,7680,-0.017617362,669.7272727272727,1.1818181818181819
-0.026211306,0.03059855,1.7131145,0.864058643579483,0.009591432,0,6.8483757972717285,11,7936,-0.017131142,669.7272727272727,1.1818181818181819
-0.024374876,0.0589539,1.6946306,0.548481673002243,0.010438742,1,7.050973892211914,12,8192,-0.016946305,670.6666666666666,1.25
-0.026453407,0.039575696,1.5755605,0.645304411649704,0.010814242,0,7.253426551818848,12,8448,-0.015755603,670.6666666666666,1.25
-0.03213025,0.02078116,1.5251985,0.9181071668863297,0.02027022,0,7.456075429916382,12,8704,-0.015251985,670.6666666666666,1.25
-0.031676475,0.018460786,1.4426086,0.891728088259697,0.017742323,1,7.65835165977478,13,8960,-0.014426086,675.7692307692307,1.0769230769230769
-0.020641133,0.026536755,1.5410225,0.9000707715749741,0.013646018,0,7.860954761505127,13,9216,-0.015410225,675.7692307692307,1.0769230769230769
-0.013726924,0.015250758,1.5413351,0.9200835078954697,0.007240344,0,8.063437461853027,13,9472,-0.0154133495,675.7692307692307,1.0769230769230769
-0.024632923,0.01077843,1.5572051,0.9507351666688919,0.008164844,1,8.26655125617981,14,9728,-0.015572051,678.7857142857143,1.0714285714285714
-0.017375462,0.029905662,1.5770438,-0.016152143478393555,0.008106606,0,8.468860149383545,14,9984,-0.015770439,678.7857142857143,1.0714285714285714
