loss_kl,loss_pol_surr,TimestepsSoFar,loss_ent,ev_tdlam_before,EpisodesSoFar,loss_pol_entpen,loss_vf_loss,TimeElapsed,EpThisIter,EpLenMean,EpRewMean
0.0052916226,-0.031235997,256,1.7861967,-2.0728163719177246,0,-0.017861968,0.035230927,0.5631864070892334,0,,
0.0035015258,-0.020121977,512,1.7830855,0.34014075994491577,0,-0.017830854,0.03943198,0.8361859321594238,0,,
0.0061329114,-0.024678107,768,1.7746944,0.5471893548965454,1,-0.017746942,0.027169317,1.075186014175415,1,662.0,1.6199999999999852
0.0031500994,-0.025319764,1024,1.7714188,0.24990838766098022,1,-0.017714188,0.05373411,1.3341865539550781,0,662.0,1.6199999999999852
0.0051696654,-0.027858857,1280,1.764859,0.744040846824646,2,-0.017648589,0.018101342,1.5901877880096436,1,623.0,1.7299999999999687
0.0052621607,-0.02526145,1536,1.7580092,0.5284929871559143,2,-0.017580092,0.016108708,1.8585405349731445,0,623.0,1.7299999999999687
0.004334529,-0.014921747,1792,1.7442803,0.8166724741458893,2,-0.017442804,0.015785594,2.1060924530029297,0,623.0,1.7299999999999687
0.005743596,-0.024030823,2048,1.7455873,0.8055471777915955,3,-0.017455872,0.01748332,2.334092855453491,1,639.3333333333334,1.7266666666666317
0.005035959,-0.022949975,2304,1.7479256,0.7961850762367249,3,-0.017479256,0.01991725,2.5825695991516113,0,639.3333333333334,1.7266666666666317
0.003139893,-0.018325545,2560,1.7443218,0.7374179661273956,3,-0.017443217,0.012515213,2.8131163120269775,0,639.3333333333334,1.7266666666666317
0.004588196,-0.023567887,2816,1.7407382,0.7668304294347763,4,-0.017407382,0.033618674,3.0368146896362305,1,642.0,1.6699999999999717
0.015009302,-0.034024037,3072,1.7133008,0.4405832290649414,4,-0.017133009,0.025639903,3.2468185424804688,0,642.0,1.6699999999999717
0.0049306788,-0.018879056,3328,1.7224479,0.4669182300567627,5,-0.017224478,0.012647816,3.47981595993042,1,655.0,1.7499999999999674
0.0052366313,-0.020298827,3584,1.7411072,0.828040286898613,5,-0.017411072,0.013836819,3.701814651489258,0,655.0,1.7499999999999674
0.014638627,-0.038180474,3840,1.6539936,0.40716230869293213,5,-0.016539937,0.029259903,3.93310809135437,0,655.0,1.7499999999999674
0.01494761,-0.027509097,4096,1.6853037,0.7788518369197845,6,-0.016853034,0.011528675,4.149554967880249,1,651.8333333333334,1.8516666666666353
0.011773096,-0.029194549,4352,1.7091358,0.6645194888114929,6,-0.017091358,0.02559241,4.362166404724121,0,651.8333333333334,1.8516666666666353
0.007968225,-0.02727962,4608,1.6984527,0.8704307675361633,7,-0.016984526,0.0136113735,4.57220983505249,1,644.0,1.7257142857142596
0.009394711,-0.03476116,4864,1.7042583,0.7445580959320068,7,-0.017042583,0.009732604,4.784127235412598,0,644.0,1.7257142857142596
0.009138316,-0.03665024,5120,1.6956861,0.6812096536159515,8,-0.01695686,0.016679937,4.994083404541016,1,635.375,1.6037499999999771
0.0068287663,-0.02096316,5376,1.7171098,0.8231648802757263,8,-0.017171098,0.011303371,5.199071407318115,0,635.375,1.6037499999999771
0.00644808,-0.026646271,5632,1.7273762,0.353340744972229,8,-0.017273761,0.016669638,5.404868125915527,0,635.375,1.6037499999999771
0.012323409,-0.029845458,5888,1.6842878,0.8888763189315796,9,-0.016842877,0.013579027,5.6192543506622314,1,644.2222222222222,1.6644444444444195
0.0147779,-0.029991172,6144,1.6246912,0.7862810492515564,9,-0.016246915,0.014350588,5.829930782318115,0,644.2222222222222,1.6644444444444195
0.0076118084,-0.020517819,6400,1.5636599,0.8329663127660751,10,-0.015636599,0.018437985,6.0372796058654785,1,637.4,1.573999999999978
0.008081559,-0.01492992,6656,1.5594525,0.8193761557340622,10,-0.015594525,0.014844998,6.243346452713013,0,637.4,1.573999999999978
0.010619425,-0.02150048,6912,1.5326118,0.8829048424959183,11,-0.015326118,0.009678542,6.451411008834839,1,623.1818181818181,1.413636363636344
0.006285245,-0.01734078,7168,1.5162549,0.5924914181232452,11,-0.015162548,0.02328572,6.665197134017944,0,623.1818181818181,1.413636363636344
0.011445936,-0.03623178,7424,1.4590918,0.23076432943344116,11,-0.014590917,0.013623273,6.871824741363525,0,623.1818181818181,1.413636363636344
0.020213185,-0.039349884,7680,1.3896997,0.621367484331131,12,-0.013896997,0.018164778,7.086605787277222,1,627.25,1.4391666666666463
0.014276474,-0.025163349,7936,1.3897523,0.7833048552274704,12,-0.013897522,0.010669267,7.3171610832214355,0,627.25,1.4391666666666463
0.027115522,-0.04684245,8192,1.276231,0.8905889168381691,13,-0.012762311,0.011580676,7.561280012130737,1,617.6153846153846,1.3299999999999814
0.02470372,-0.032484613,8448,1.3056049,0.7833418101072311,13,-0.013056049,0.015994858,7.772050380706787,0,617.6153846153846,1.3299999999999814
0.012389449,-0.01021578,8704,1.1735706,0.7272929549217224,14,-0.011735706,0.024361424,7.982147216796875,1,606.2142857142857,1.2049999999999828
0.0077263955,-0.009393405,8960,1.1686411,0.8097198903560638,15,-0.011686411,0.015233006,8.191092014312744,1,595.7333333333333,1.0906666666666507
0.0065445746,-0.014907101,9216,1.0225091,0.6451467573642731,15,-0.010225091,0.011860793,8.435025930404663,0,595.7333333333333,1.0906666666666507
0.008412364,-0.019898018,9472,1.2012725,0.772136002779007,15,-0.012012725,0.012614372,8.649595737457275,0,595.7333333333333,1.0906666666666507
0.007657013,-0.014441606,9728,1.276737,0.6521572768688202,16,-0.012767371,0.017074691,8.865392446517944,1,592.5,1.0499999999999856
0.007569272,-0.017419389,9984,0.94374627,0.8548054993152618,16,-0.009437462,0.009513691,9.080711841583252,0,592.5,1.0499999999999856
0.008267722,-0.013871031,10240,1.0745585,0.8450588285923004,17,-0.010745585,0.010448435,9.291070938110352,1,589.9411764705883,1.0170588235293982
0.009382427,-0.014664741,10496,1.000563,0.8574020564556122,17,-0.010005631,0.013497831,9.50389051437378,0,589.9411764705883,1.0170588235293982
0.01065094,-0.015566204,10752,1.1299193,0.6274966299533844,18,-0.011299193,0.021065002,9.720098733901978,1,584.3333333333334,0.954444444444432
0.031726062,-0.024269547,11008,0.99940777,0.8072599768638611,18,-0.0099940775,0.009419513,9.938758611679077,0,584.3333333333334,0.954444444444432
0.009159464,-0.0181932,11264,1.0508544,0.686913400888443,19,-0.010508545,0.009619849,10.153402328491211,1,587.2631578947369,0.9778947368420932
0.0065647094,-0.0077177417,11520,1.0428736,0.8627946078777313,19,-0.010428734,0.013354985,10.373557806015015,0,587.2631578947369,0.9778947368420932
0.01597266,-0.015223231,11776,0.86082524,0.9141124561429024,20,-0.008608253,0.008018296,10.59396767616272,1,582.85,0.9284999999999887
0.008277959,-0.01746374,12032,0.9733241,0.8314675837755203,20,-0.009733241,0.014841777,10.82103180885315,0,582.85,0.9284999999999887
