total_timesteps,explained_variance,policy_entropy,value_loss,fps,nupdates
5,-3034.255615234375,1.7917582988739014,0.0065099820494651794,19,1
500,-2170701.25,1.7917588949203491,0.05665703862905502,557,100
1000,-1834.7962646484375,1.7917587757110596,0.012627623975276947,629,200
