policy_entropy,nupdates,fps,total_timesteps,explained_variance,value_loss
2.079439878463745,1,5,5,-7881.24560546875,0.010630900040268898
2.0794405937194824,100,179,500,-724.1738891601562,0.011208320036530495
2.079439878463745,200,214,1000,-1155.3848876953125,0.006031835451722145
