loss_pol_entpen,EpLenMean,loss_kl,EpisodesSoFar,EpRewMean,ev_tdlam_before,TimestepsSoFar,loss_vf_loss,TimeElapsed,loss_pol_surr,loss_ent,EpThisIter
0.0,2801.67,0.0048474185,1528,-2.94,0.39404165744781494,1495040,0.008216236,1689.7254004478455,-0.0032157425,0.62823004,2
0.0,2801.67,0.0051506907,1529,-2.94,0.51510089635849,1499136,0.005427203,1694.3524000644684,-0.0036776739,0.6285015,1
0.0,2837.0,0.005767366,1530,-2.92,0.46738386154174805,1503232,0.0018743685,1710.1664006710052,-0.004744956,0.66465145,1
0.0,2837.29,0.0071171536,1531,-2.91,0.385836124420166,1507328,0.0045692534,1714.8343999385834,-0.00539374,0.68420243,1
0.0,2849.04,0.006647113,1532,-2.87,0.4341163635253906,1511424,0.007654144,1719.5953993797302,-0.005596473,0.6241644,1
0.0,2853.84,0.0048884056,1534,-2.84,0.5253804922103882,1515520,0.004573483,1724.2563998699188,-0.004230633,0.73188937,2
0.0,2855.24,0.004933568,1535,-2.85,0.5589432418346405,1519616,0.0055127176,1728.9134023189545,-0.0022556093,0.6860098,1
0.0,2856.12,0.0061251596,1537,-2.85,0.45922040939331055,1523712,0.0059112175,1733.5067353248596,-0.0045222393,0.67334837,2
0.0,2866.96,0.0057044555,1538,-2.81,0.34984278678894043,1527808,0.005113099,1737.9840223789215,-0.002150756,0.7359619,1
0.0,2880.47,0.0046790717,1539,-2.77,0.40692925453186035,1531904,0.0032662738,1742.508062839508,-0.0036349078,0.77115,1
0.0,2885.54,0.0047301967,1541,-2.71,0.41941988468170166,1536000,0.00660868,1747.187014579773,-0.0035193632,0.61017483,2
0.0,2889.92,0.005560338,1542,-2.67,0.49112552404403687,1540096,0.006937946,1751.6540138721466,-0.0024064803,0.62652355,1
0.0,2885.59,0.0059037493,1543,-2.63,0.4089750051498413,1544192,0.0013850805,1756.2803437709808,-0.004110818,0.66256297,1
0.0,2897.19,0.0062491545,1545,-2.63,0.30733543634414673,1548288,0.008046312,1760.778344631195,-0.0045077023,0.6881591,2
0.0,2897.19,0.0049627586,1546,-2.64,0.6365620493888855,1552384,0.0054289866,1765.3143436908722,-0.0022100313,0.60408115,1
0.0,2897.16,0.005771026,1547,-2.67,0.5757715404033661,1556480,0.0049519297,1769.7963452339172,-0.0028383941,0.6363559,1
0.0,2908.88,0.0051012817,1549,-2.59,0.517472118139267,1560576,0.0059439787,1774.495602607727,-0.003962797,0.65802914,2
0.0,2908.88,0.0056665703,1550,-2.59,0.5056603252887726,1564672,0.002691458,1779.0135769844055,-0.0037617232,0.7562871,1
0.0,2910.43,0.0074835788,1552,-2.57,0.4616159200668335,1568768,0.006333998,1783.7295768260956,-0.00395904,0.68581206,2
0.0,2910.43,0.0045410297,1553,-2.57,-1.170234203338623,1572864,0.0006004427,1788.4086604118347,-0.003464282,0.5827926,1
0.0,2907.06,0.006522129,1555,-2.52,0.4384891390800476,1576960,0.0062290914,1792.9694230556488,-0.005619064,0.6300913,2
0.0,2907.06,0.004326752,1556,-2.51,0.25639742612838745,1581056,0.0037386634,1797.5763733386993,-0.003269979,0.67900187,1
0.0,2898.27,0.005998732,1558,-2.52,0.41622620820999146,1585152,0.0056820726,1802.1583898067474,-0.0056228144,0.6252532,2
0.0,2905.8,0.005096199,1559,-2.49,0.6500178277492523,1589248,0.005636193,1806.7933731079102,-0.0030006757,0.6882098,1
0.0,2894.87,0.005801127,1561,-2.48,0.5223442018032074,1593344,0.0072678947,1811.4983732700348,-0.003683325,0.6742397,2
0.0,2894.87,0.005244483,1562,-2.47,0.5042324364185333,1597440,0.0089574605,1816.035374879837,-0.0072378507,0.5762557,1
