loss_vf_loss,EpThisIter,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before,EpRewMean,loss_kl,loss_ent,TimestepsSoFar,TimeElapsed,loss_pol_surr,EpLenMean
0.004229144,1,19022,0.0,0.03746527433395386,0.41,0.0020329468,0.5382871,32845824,101003.90177726746,-0.004938373,3000.0
0.0040103546,2,19024,0.0,0.3279573321342468,0.4,0.0026319872,0.53193444,32849920,101015.5301001072,-0.006821937,3000.0
0.0005352767,1,19025,0.0,0.4420473575592041,0.37,0.0025325764,0.5468942,32854016,101026.90466594696,-0.0060631344,3000.0
0.001090474,2,19027,0.0,0.6882040500640869,0.37,0.003278229,0.5192415,32858112,101037.78493142128,-0.0077349707,3000.0
0.00010242602,1,19028,0.0,-3.262437343597412,0.37,0.0027461464,0.53445774,32862208,101048.66725206375,-0.0065497635,3000.0
0.00047259775,1,19029,0.0,0.7405108511447906,0.35,0.0027754712,0.53430814,32866304,101059.98140764236,-0.006391412,3000.0
0.0057603843,2,19031,0.0,0.5212530195713043,0.37,0.003287867,0.5272449,32870400,101070.96980452538,-0.0076676877,3000.0
0.00026206337,1,19032,0.0,-2.826324701309204,0.36,0.0028292453,0.5403506,32874496,101082.04212975502,-0.007630625,3000.0
0.0020557751,1,19033,0.0,0.7340442836284637,0.37,0.0032870106,0.52674663,32878592,101093.73340535164,-0.0062425705,3000.0
0.0022693123,2,19035,0.0,0.6492245495319366,0.37,0.00263964,0.53595346,32882688,101105.01951885223,-0.0070235776,3000.0
0.0028654851,1,19036,0.0,0.5167772471904755,0.38,0.0035469844,0.5229813,32886784,101115.94658350945,-0.0075926404,3000.0
0.0034576373,1,19037,0.0,0.4399789571762085,0.38,0.0028188494,0.5439571,32890880,101126.91063714027,-0.0071794996,3000.0
0.0015704836,2,19039,0.0,0.5699445605278015,0.42,0.0030586985,0.5341224,32894976,101138.22119426727,-0.006640114,3000.0
0.0013253858,1,19040,0.0,0.7044053375720978,0.41,0.002471404,0.5384752,32899072,101149.16817569733,-0.0062348084,3000.0
0.00021935813,2,19042,0.0,-1.6531667709350586,0.41,0.0029371188,0.5247261,32903168,101160.25916147232,-0.008420793,3000.0
0.0014544548,1,19043,0.0,0.5861868262290955,0.39,0.0036460161,0.5356771,32907264,101171.46892094612,-0.0066712806,3000.0
0.0057959016,1,19044,0.0,0.2713150978088379,0.36,0.002390458,0.5471592,32911360,101182.36672115326,-0.0070128557,3000.0
0.005734793,2,19046,0.0,0.2563168406486511,0.38,0.0032057017,0.50737125,32915456,101193.62964296341,-0.008102044,3000.0
0.004320707,1,19047,0.0,0.5444442927837372,0.37,0.003390437,0.548692,32919552,101205.84378480911,-0.007642664,3000.0
4.1088366e-05,1,19048,0.0,-2.188671588897705,0.4,0.003337331,0.55441314,32923648,101217.73650813103,-0.008573173,3000.0
0.0028532485,2,19050,0.0,0.5489112436771393,0.42,0.0026708313,0.5282601,32927744,101229.49224972725,-0.0068400325,3000.0
0.0015690201,1,19051,0.0,0.6318001449108124,0.44,0.003089473,0.53299695,32931840,101241.1563873291,-0.0061857663,3000.0
0.004150466,1,19052,0.0,0.5993029177188873,0.42,0.0031045515,0.52765656,32935936,101252.0404791832,-0.006374562,3000.0
