ev_tdlam_before,EpThisIter,EpisodesSoFar,loss_pol_surr,TimeElapsed,loss_kl,loss_vf_loss,TimestepsSoFar,loss_pol_entpen,loss_ent,EpRewMean,EpLenMean
-0.1275385618209839,0,0,-0.004271336,1.037553071975708,0.0005576797,0.03128057,256,-0.020788914,2.0788913,,
0.4239436984062195,0,0,-0.0012834184,1.420466661453247,0.000115565024,0.018159611,512,-0.020787787,2.0787787,,
0.5925523340702057,1,1,-0.007087549,1.8153679370880127,0.00093215145,0.01860562,768,-0.020770662,2.0770662,-5.0,764.0
-1.8489534854888916,0,1,-0.009819986,2.1940574645996094,0.0026891949,0.045669705,1024,-0.020708904,2.0708904,-5.0,764.0
0.4892006516456604,0,1,-0.015006436,2.5764100551605225,0.009738136,0.021620125,1280,-0.020458112,2.0458112,-5.0,764.0
0.2614162564277649,0,1,-0.011012921,2.956115961074829,0.0076787397,0.03551627,1536,-0.020180693,2.0180693,-5.0,764.0
0.7152144908905029,1,2,-0.0094876215,3.334705352783203,0.004559195,0.0132035855,1792,-0.020316772,2.0316772,-4.5,813.0
0.7762440294027328,0,2,-0.007875575,3.713210344314575,0.003084383,0.017487174,2048,-0.020195235,2.0195236,-4.5,813.0
0.7939512580633163,1,3,-0.008995203,4.096540927886963,0.0055558556,0.007299626,2304,-0.019775767,1.9775765,-4.666666666666667,723.0
0.5333631336688995,0,3,-0.0062932633,4.475231647491455,0.004491433,0.030356068,2560,-0.019430686,1.9430687,-4.666666666666667,723.0
0.7395047545433044,1,4,-0.015213161,4.85404372215271,0.010911314,0.018914705,2816,-0.019154675,1.9154675,-4.75,658.5
0.7608048617839813,0,4,-0.010453604,5.232282876968384,0.0176201,0.019989867,3072,-0.018217966,1.8217965,-4.75,658.5
0.6168213784694672,1,5,-0.008072976,5.611033201217651,0.0069388845,0.02353763,3328,-0.017665837,1.7665837,-4.8,647.2
0.8388066589832306,0,5,-0.018840665,5.989949941635132,0.012346277,0.012653601,3584,-0.017162556,1.7162557,-4.8,647.2
0.7839747965335846,1,6,-0.01437716,6.369044065475464,0.010867929,0.020153105,3840,-0.01585049,1.5850492,-4.833333333333333,617.6666666666666
0.8131937831640244,0,6,-0.018298019,6.747400999069214,0.015337992,0.017568642,4096,-0.015460592,1.5460593,-4.833333333333333,617.6666666666666
0.8711262494325638,1,7,-0.008493425,7.125471353530884,0.005925608,0.013694786,4352,-0.015182066,1.5182066,-4.857142857142857,621.7142857142857
0.8361407369375229,0,7,-0.011823956,7.504711627960205,0.007263409,0.015775762,4608,-0.01500102,1.500102,-4.857142857142857,621.7142857142857
0.6830678880214691,1,8,-0.009286955,7.883602857589722,0.0058182464,0.025880596,4864,-0.014334604,1.4334605,-4.875,605.0
0.7908885180950165,0,8,-0.00013261102,8.262168169021606,0.0028628223,0.019808866,5120,-0.015021687,1.5021687,-4.875,605.0
0.7704006135463715,1,9,-0.000363525,8.640663146972656,0.0038892543,0.011977849,5376,-0.01536792,1.536792,-4.888888888888889,588.8888888888889
0.7265255451202393,0,9,-0.0051869713,9.019934177398682,0.003076292,0.021966906,5632,-0.015390165,1.5390165,-4.888888888888889,588.8888888888889
0.628309428691864,0,9,-0.009869151,9.398626327514648,0.0067358376,0.017706174,5888,-0.014615938,1.4615939,-4.888888888888889,588.8888888888889
0.5703761577606201,1,10,-0.015385556,9.800631999969482,0.007922525,0.016636187,6144,-0.014979703,1.4979703,-4.9,607.7
0.7760560512542725,0,10,-0.0066476855,10.199073791503906,0.0075486386,0.012811355,6400,-0.014003423,1.4003425,-4.9,607.7
0.7310042977333069,0,10,-0.0118202865,10.576830387115479,0.007875752,0.016817652,6656,-0.013228027,1.3228028,-4.9,607.7
0.7479487359523773,1,11,-0.0020570084,10.958057403564453,0.007979263,0.018938825,6912,-0.012573052,1.2573054,-4.909090909090909,612.0
0.864175409078598,0,11,-0.019823909,11.335960865020752,0.013385091,0.01166067,7168,-0.012173667,1.2173667,-4.909090909090909,612.0
0.8247212022542953,1,12,-0.008306593,11.715205907821655,0.0065782918,0.012114197,7424,-0.011707155,1.1707156,-4.916666666666667,599.3333333333334
0.7941644191741943,0,12,-0.007713612,12.095633029937744,0.009047008,0.018397689,7680,-0.013031219,1.3031219,-4.916666666666667,599.3333333333334
0.37624651193618774,1,13,-0.003994569,12.476013660430908,0.008727245,0.011582587,7936,-0.0138891125,1.3889112,-4.923076923076923,609.9230769230769
0.6669388711452484,0,13,-0.0022627972,12.888677835464478,0.004904885,0.015434305,8192,-0.014878702,1.4878702,-4.923076923076923,609.9230769230769
0.6350421905517578,0,13,-0.010108419,13.307523488998413,0.0073443567,0.01826505,8448,-0.014650565,1.4650565,-4.923076923076923,609.9230769230769
0.7645425051450729,1,14,-0.012524595,13.710609197616577,0.015263735,0.022651572,8704,-0.012886014,1.2886014,-4.928571428571429,612.4285714285714
0.852916419506073,0,14,-0.016707297,14.131208896636963,0.010293525,0.014427865,8960,-0.01336793,1.3367932,-4.928571428571429,612.4285714285714
0.8484354466199875,1,15,-0.0051965443,14.550332069396973,0.006023898,0.012479108,9216,-0.014365371,1.4365371,-4.933333333333334,607.4666666666667
0.6849722564220428,0,15,-0.009423034,14.967417478561401,0.011902245,0.013391582,9472,-0.01581449,1.5814492,-4.933333333333334,607.4666666666667
0.7226268947124481,0,15,-0.014305363,15.384252548217773,0.009844449,0.019137315,9728,-0.01593603,1.593603,-4.933333333333334,607.4666666666667
0.7165331840515137,1,16,-0.0037001986,15.805367708206177,0.0025563268,0.0160793,9984,-0.015891964,1.5891964,-4.9375,610.125
